RUN	KarateSimulate	karatesimulate	1596739137110	 	3.3.1
USER	Get Scores for instruments	110	START	1596739138578	1596739138578
USER	Get Scores for instruments	111	START	1596739138607	1596739138607
USER	Get Scores for instruments	112	START	1596739138607	1596739138607
USER	Get Scores for instruments	113	START	1596739138607	1596739138607
USER	Get Scores for instruments	114	START	1596739138627	1596739138627
USER	Get Scores for instruments	115	START	1596739138627	1596739138627
USER	Get Scores for instruments	116	START	1596739138647	1596739138647
USER	Get Scores for instruments	117	START	1596739138648	1596739138648
USER	Get Scores for instruments	118	START	1596739138659	1596739138659
USER	Get Scores for instruments	119	START	1596739138670	1596739138670
USER	Get Scores for instruments	120	START	1596739138675	1596739138675
USER	Get Scores for instruments	121	START	1596739138696	1596739138696
USER	Get Scores for instruments	122	START	1596739138702	1596739138702
USER	Get Scores for instruments	123	START	1596739138712	1596739138712
USER	Get Scores for instruments	124	START	1596739138712	1596739138712
USER	Get Scores for instruments	125	START	1596739138731	1596739138731
USER	Get Scores for instruments	127	START	1596739138748	1596739138748
USER	Get Scores for instruments	126	START	1596739138748	1596739138748
USER	Get Scores for instruments	128	START	1596739138756	1596739138756
USER	Get Scores for instruments	129	START	1596739138779	1596739138779
USER	Get Scores for instruments	130	START	1596739138788	1596739138788
USER	Get Scores for instruments	131	START	1596739138788	1596739138788
USER	Get Scores for instruments	132	START	1596739138794	1596739138794
USER	Get Scores for instruments	133	START	1596739138804	1596739138804
USER	Get Scores for instruments	134	START	1596739138817	1596739138817
USER	Get Scores for instruments	135	START	1596739138826	1596739138826
REQUEST	25		GET /v2/sasb/orgs/scores	1596739141355	1596739142877	OK	 
REQUEST	46		GET /v2/sasb/orgs/scores	1596739141355	1596739143655	OK	 
REQUEST	40		GET /v2/sasb/orgs/scores	1596739141355	1596739143660	OK	 
REQUEST	61		GET /v2/sasb/orgs/scores	1596739141363	1596739143661	OK	 
REQUEST	63		GET /v2/sasb/orgs/scores	1596739141355	1596739143657	OK	 
